Name,Table,Type,DataCategory,DataType,DisplayFolder,Expression,IsHidden,IsKey,IsNullable,IsUnique,LineageTag,SortByColumn,SourceColumn
Day,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,Calculated,DayOfMonth,Integer,,DAY([Date]),true,false,true,false,caedbc80-887e-4fdd-b59f-9c7d49cd1528,,
Day,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,Calculated,DayOfMonth,Integer,,DAY([Date]),true,false,true,false,e2dd15d9-c152-4c34-849f-cfc90dd6a731,,
Day,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,Calculated,DayOfMonth,Integer,,DAY([Date]),true,false,true,false,f6824f4f-927f-4f46-9d0a-9254dd4567d9,,
MonthNo,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,Calculated,MonthOfYear,Integer,,MONTH([Date]),true,false,true,false,43711b45-5b8e-46e0-9056-9e1429cf950d,,
MonthNo,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,Calculated,MonthOfYear,Integer,,MONTH([Date]),true,false,true,false,5d70cc24-690a-4e3a-ad48-45f8f4ddc47c,,
MonthNo,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,Calculated,MonthOfYear,Integer,,MONTH([Date]),true,false,true,false,87f0953f-9cd0-4822-8f5e-fdd31ae454f7,,
Month,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,Calculated,Months,Text,,"FORMAT([Date], ""MMMM"")",true,false,true,false,0169252d-7e2d-495c-a40f-6fd5263d75bb,MonthNo,
Month,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,Calculated,Months,Text,,"FORMAT([Date], ""MMMM"")",true,false,true,false,3fa58864-e2ed-4a34-bab8-a5884c6c7938,MonthNo,
Month,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,Calculated,Months,Text,,"FORMAT([Date], ""MMMM"")",true,false,true,false,56572c49-bfe8-47e0-98df-0cbcbdfc06ae,MonthNo,
Date,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,CalculatedTableColumn,PaddedDateTableDates,Date,,,true,false,false,true,12d5fc5d-0f1d-4326-9c11-09ffeb50ccf5,,Date
Date,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,CalculatedTableColumn,PaddedDateTableDates,Date,,,true,false,false,true,1f95e9d1-6bb2-4786-8686-e825b611a8e0,,Date
Date,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,CalculatedTableColumn,PaddedDateTableDates,Date,,,true,false,true,false,08232930-9bd0-40a5-bfd6-1800b90f037c,,Date
QuarterNo,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,Calculated,QuarterOfYear,Integer,,INT(([MonthNo] + 2) / 3),true,false,true,false,8a7d7584-a2a1-4691-a123-39dcc7ce5b9f,,
QuarterNo,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,Calculated,QuarterOfYear,Integer,,INT(([MonthNo] + 2) / 3),true,false,true,false,a561873d-ed51-43f0-a253-55f0e464f556,,
QuarterNo,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,Calculated,QuarterOfYear,Integer,,INT(([MonthNo] + 2) / 3),true,false,true,false,eda1a301-f801-4c98-8270-ffe8101e1723,,
Quarter,DateTableTemplate_4439d23f-be47-4c76-af94-b88c07a4e1c1,Calculated,Quarters,Text,,"""Qtr "" & [QuarterNo]",true,false,true,false,714c8203-064b-4876-8155-24b3c4e6ffca,QuarterNo,
Quarter,LocalDateTable_ffda792a-e4e2-4437-b266-0a08d4d4f59a,Calculated,Quarters,Text,,"""Qtr "" & [QuarterNo]",true,false,true,false,8218dbf6-9030-445f-a99b-fea381d4c65f,QuarterNo,
Quarter,LocalDateTable_eb61007b-a943-48b9-a0bd-3a3586bec2b3,Calculated,Quarters,Text,,"""Qtr "" & [QuarterNo]",true,false,true,false,f9a12c4d-a071-47f5-9d96-2f62f75433b7,QuarterNo,
Date,_dim_Date,Data,Regular,Date,,,false,false,false,true,e8ab1a0d-86a0-431a-a43b-89af245a571b,,Date
Review Date,Survey,Data,Regular,Date,,,false,false,true,false,9739f9d5-0d17-478e-9307-fb587bf59e61,,Review Date
Hire Date,Employee,Data,Regular,Date,Professional,,false,false,true,false,abb7f15e-777a-4cce-8c3e-e819aeab50d3,,Hire Date
Question ID,Questions,Data,Regular,Integer,,,false,false,false,true,2b894338-9b0e-49cb-b82f-6b78ac8bcecb,,Question ID
Question ID,Survey,Data,Regular,Integer,,,false,false,true,false,0392a23e-5776-432a-8324-50c0b50d37a5,,Question ID
KPIID,Model_Measures,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,1dd2f952-7edb-4f56-bf6d-d38d4f3250a0,,KPIID
Answer,Survey,Data,Regular,Integer,,,false,false,true,false,38cf49e9-627d-44ab-bf53-c37bbd71ec89,,Answer
Week Number,_dim_Date,Data,Regular,Integer,,,false,false,true,false,4af4e299-c8ea-44ee-9afd-52e8ce03e4ab,,Week Number
ID,Model_Relationships,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,4cd49cb4-a810-44eb-b375-b9d42fab4c4a,,ID
CalculationGroupPrecedence,Model_Tables,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,51d08591-199d-4650-8ece-6609b00d2e89,,CalculationGroupPrecedence
ID,Model_Columns,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,5f5b0406-c430-45b6-ba02-abef34c75c0e,,ID
Month Number,_dim_Date,Data,Regular,Integer,,,false,false,true,false,7436bec8-5feb-4de6-9902-7016dbc37656,,Month Number
Year,_dim_Date,Data,Regular,Integer,,,false,false,true,false,b458ef55-dc91-4028-bedb-619797cd35a9,,Year
ID,Model_Measures,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,c75b1354-1d05-482c-a0f8-07940e06b67e,,ID
ID,Model_Tables,CalculatedTableColumn,Regular,Integer,,,false,false,true,false,f1e8a5c3-0304-410c-911d-1f093ae0b95d,,ID
Age,Employee,Data,Regular,Integer,Personal,,false,false,true,false,93f53e45-8ac6-4453-8df5-f859cd9ee7ff,,Age
YearsAtCompany,Employee,Data,Regular,Integer,Professional,,false,false,true,false,1445b00e-c575-4c96-ad16-916aba68d3d8,,YearsAtCompany
YearsInMostRecentRole,Employee,Data,Regular,Integer,Professional,,false,false,true,false,21f7129f-31d2-460e-805a-82416e076171,,YearsInMostRecentRole
YearsWithCurrManager,Employee,Data,Regular,Integer,Professional,,false,false,true,false,2282b775-6c5d-46ce-b7d9-629630ab9159,,YearsWithCurrManager
